Author,Scopus Author ID,Tags,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Ongoing Correction Request
Varela Christopher,57219451077,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
Barcia Andrea,57391621100,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Barriga, Holger Raul",57201854476,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Bustamante, José M.",57204844068,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Camacho, Maria Helen",56875523900,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Carvache-Franco, Wilmer",57194655663,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Constantine-Castro, Angelo R.",55957620100,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Espinoza, Nereyda",57209436859,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Estrella, Félix",57236647400,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Gavilanes, Julio",57200691311,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"González, Víctor Hugo",57200794830,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Guerrero, Alicia",57209451180,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"León-León, Vanessa",57729455800,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Lima, José Luis",56660271700,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Macias, Washington",57196475106,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Maluk Uriguen, Silvia Amira",57214136857,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Molina-Vera, Andrea",57221599567,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Pécot, Mathias",57203511499,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Ricaurte-Quijano, Carla",57195571363,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
